artists,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,genre_code
Gen Hoshino,Comedy,0.73,230666,0,0.676,0.461,1,-6.746,0,0.143,0.0322,1.01e-06,0.358,0.715,0.36124533635751027,4,acoustic,0
Ben Woodward,Ghost - Acoustic,0.55,149610,0,0.42,0.166,1,-17.235,1,0.0763,0.924,5.56e-06,0.101,0.267,0.3183973505579935,4,acoustic,0
Ingrid Michaelson;ZAYN,To Begin Again,0.57,210826,0,0.438,0.359,0,-9.734,1,0.0557,0.21,0.0,0.117,0.12,0.31364331147379315,4,acoustic,0
Kina Grannis,Can't Help Falling In Love,0.71,201933,0,0.266,0.0596,0,-18.515,1,0.0363,0.905,7.07e-05,0.132,0.143,0.7467580494058478,3,acoustic,0
Chord Overstreet,Hold On,0.82,198853,0,0.618,0.443,2,-9.681,1,0.0526,0.469,0.0,0.0829,0.167,0.4928627779695281,4,acoustic,0
Tyrone Wells,Days I Will Remember,0.58,214240,0,0.688,0.481,6,-8.807,1,0.105,0.289,0.0,0.189,0.666,0.40274559111154934,4,acoustic,0
A Great Big World;Christina Aguilera,Say Something,0.74,229400,0,0.407,0.147,2,-8.822,1,0.0355,0.857,2.89e-06,0.0913,0.0765,0.5805269299672928,3,acoustic,0
Jason Mraz,I'm Yours,0.8,242946,0,0.703,0.444,11,-9.331,1,0.0417,0.559,0.0,0.0973,0.712,0.6202849958088852,4,acoustic,0
Jason Mraz;Colbie Caillat,Lucky,0.74,189613,0,0.625,0.414,0,-8.7,1,0.0369,0.294,0.0,0.151,0.669,0.5345232812320233,4,acoustic,0
Ross Copperman,Hunger,0.56,205594,0,0.442,0.632,1,-6.77,1,0.0295,0.426,0.00419,0.0735,0.196,0.32419095047910196,4,acoustic,0
Zack Tabudlo,Give Me Your Forever,0.74,244800,0,0.627,0.363,8,-8.127,1,0.0291,0.279,0.0,0.0928,0.301,0.4105032624952747,4,acoustic,0
Jason Mraz,I Won't Give Up,0.69,240165,0,0.483,0.303,4,-10.058,1,0.0429,0.694,0.0,0.115,0.139,0.5481567312591423,3,acoustic,0
Dan Berk,Solo,0.52,198712,0,0.489,0.314,7,-9.245,0,0.0331,0.749,0.0,0.113,0.607,0.5104695692191378,4,acoustic,0
Anna Hamilton,Bad Liar,0.62,248448,0,0.691,0.234,3,-6.441,1,0.0285,0.777,0.0,0.12,0.209,0.35790066236050155,4,acoustic,0
Chord Overstreet;Deepend,Hold On - Remix,0.56,188133,0,0.755,0.78,2,-6.084,1,0.0327,0.124,2.83e-05,0.121,0.387,0.4930887694558125,4,acoustic,0
